title,genre,description,author,bookformat,isbn,pages,image
"Priestess, Mother, Sacred Sister: Religions Dominated by Women","Religion,Nonfiction,Classics,History,Fantasy,Mythology,Audiobook,Christianity,Lds,Religion,Christianity","Religion is often denounced as one of the tools used by patriarchal societies to maintain the status quo, and especially to persuade women to accept subordinate roles. This does not explain, however, the existence of many religious groups in which women are both leaders and the majority of participants. How are these women's religions different from those dominated by men? What can we learn from them about the special ways in which women experience their unique reality? In this fascinating and pathbreaking work--the first comparative study of women's religions--Susan Starr Sered seeks answers to these compelling questions., Looking for common threads linking groups as diverse as the ancestral cults of the Black Caribs of Belize, Korean shamanism, Christian Science, and the Feminist Spirituality movement, Sered finds that motherhood and motherly concerns play a vital role in these female-dominated groups. Nurturing and concern for others are at the center, as are healing arts and ways of dealing with illness and the death of children. Religion not only enables women to find sacred meaning in their daily lives, from the preparation of food to caring for their families, but an offer intense and personal relationships with deities and spirits--often through ecstatic possession trance--as well as opportunities to celebrate and mourn with other women., By examining the shared experiences of women across great cultural divides, ,Priestess, Mother, Sacred Sister, offers a new understanding of the role gender plays in determining how individuals grapple with the ultimate questions of existence. In the process, it not only highlights the profound differences between men and women, but the equally important ways in which we are all alike.",Susan Starr Sered,Paperback,195104676,352,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348231362l/1005031.jpg
"Ja, inkwizytor. Dotyk zÅ‚a","Fantasy,Fantasy,Mythology,Folklore,Reference,Reference,Research,Fantasy,Fairy Tales,Paranormal,Fairies,Fairies,Fae,Fiction,Fantasy,Magic","Oto on, inkwizytor i SÅ‚uga BoÅ¼y, czÅ‚owiek gÅ‚Ä™bokiej wiary.,Oto dwie minipowieÅ›ci, ktÃ³rych bohaterem jest Mordimer Madderdin, peÅ‚en wiary i zapaÅ‚u mÅ‚ody inkwizytor.,Dlaczego bogaty kupiec pragnie utopiÄ‡ we wrzÄ…cej smole ubÃ³stwianego synka? Dlaczego zacny patrycjusz w okrutny sposÃ³b zabija ukochanÄ… Å¼onÄ™? Mordimer Madderdin musi wyjaÅ›niÄ‡ jaka siÅ‚a popycha ludzi do czynienia bezrozumnego zÅ‚a. ,Mordimer wpada w miÅ‚osne sidÅ‚a zastawione przez Å›licznÄ… i uroczÄ… gÃ³ralkÄ™. Jak dÅ‚ugo wytrzyma inkwizytor ktÃ³rego nazywa siÄ™ â€žmiodowym placuszkiemâ€œ i â€žszafranowÄ… babeczkÄ…â€œ? I jak dÅ‚ugo wytrzyma, by kierowany Å›wiÄ™tym obowiÄ…zkiem, nie zajrzeÄ‡ do szafy peÅ‚nej trupÃ³w?",Jacek Piekara,Hardcover,,352,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293554135l/10050386.jpg
Ø­ÙƒÙ… Ø§Ù„Ù†Ø¨ÙŠ Ù…Ø­Ù…Ø¯,"Fiction,Northern Africa,Egypt,Classics,Cultural,Africa,Literature","ÙƒØªØ§Ø¨ ÙŠØªØ­Ø¯Ø« ÙÙŠÙ‡ Ø§Ù„ÙƒØ§ØªØ¨ Ùˆ Ø§Ù„Ø±ÙˆØ§Ø¦ÙŠ Ø§Ù„Ø±Ø§Ø¦Ø¹ Ø§Ù„Ø±ÙˆØ³ÙŠ ØªÙˆÙ„Ø³ØªÙˆÙŠ Ø¹Ù† Ø§Ù„Ù†Ø¨ÙŠ ØµÙ„Ù‰ Ø§Ù„Ù„Ù‡ Ø¹Ù„ÙŠÙ‡ Ùˆ Ø³Ù„Ù…. Ùˆ ÙŠØ¹Ø¨Ø± Ø¹Ù† Ø¥Ø¹Ø¬Ø§Ø¨Ù‡ Ø¨Ø£Ø­Ø§Ø¯ÙŠØ« Ø£Ø¹Ø¬Ø¨ Ø¨Ù‡Ø§ Ø¹Ù† Ø§Ù„Ø±Ø³ÙˆÙ„ ØµÙ„Ù‰ Ø§Ù„Ù„Ù‡ Ø¹Ù„ÙŠÙ‡ Ùˆ Ø³Ù„Ù…. Ùˆ Ø¨Ù„Øº Ø¹Ø¯Ø¯Ù‡Ø§ Ù…Ø§ ÙŠÙ‚Ø§Ø±Ø¨ Ø§Ù„Ù€ 56 Ø­Ø¯ÙŠØ«Ø§Ù‹. Ùˆ ÙÙŠ Ø§Ù„ÙƒØªØ§Ø¨ ÙŠØªØ­Ø¯Ø« ØªÙˆÙ„Ø³ØªÙˆÙŠ Ø¹Ù† Ù†Ø¸Ø±ÙŠØ§ØªÙ‡ Ø¹Ù† Ø§Ù„Ø­ÙŠØ§Ø© Ù…Ø¹ Ø§Ù„ÙÙ„Ø§Ø­ÙŠÙ† Ùˆ Ø¹Ù† Ø§Ù„Ø·Ø¨Ù‚Ù‰ Ø§Ù„ØºÙ†ÙŠØ© ÙÙŠ Ø±ÙˆØ³ÙŠØ§.,Ù„Ù„ØªØ­Ù…ÙŠÙ„,http://hotfile.com/dl/62250120/a65d30...,Ø£Ùˆ,http://www.filefactory.com/file/b2g6h...","Leo Tolstoy,Ù„ÙŠÙˆ ØªÙˆÙ„Ø³ØªÙˆÙŠ,Ø³Ù„ÙŠÙ… Ù‚Ø¨Ø¹ÙŠÙ†",Paperback,,80,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293555781l/10050522.jpg
Central African Republic in Pictures (Visual Geography),,"An overview of Central African Republic's geography and history, along with an exploration of the political, economic, and cultural landscape of this landlocked country in central Africa.",Matt Doeden,Hardcover,1575059525,80,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349032896l/10050565.jpg
The Old Testament: King James Version,History,,Anonymous,,,1184,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458183408l/10050588.jpg
"The World Guide to Gnomes, Fairies, Elves and Other Little People","Fiction,Young Adult,Humor,Young Adult,Coming Of Age,Humor,Comedy,Contemporary,Young Adult,Teen,Novels,Romance,Adult",A compendium of international fairy folklore.,Thomas Keightley,Hardcover,517263130,560,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg
Ù…Ù„ÙŠÙ… Ø§Ù„Ø£ÙƒØ¨Ø±,"Fantasy,Heroic Fantasy,Sword and Sorcery","Ù†Ø´Ø£ Ù…Ù„ÙŠÙ… ÙŠØ¬ÙˆÙ„ Ø§Ù„Ø­ÙŠ Ø¨ØµØ­Ø¨Ø© Ø£Ø¨ÙŠÙ‡ØŒ Ø¨Ø§Ø¦Ø¹ Ø§Ù„Ø¬Ø±Ø§Ø¦Ø¯ Ø«Ù… Ø§Ù„Ø²Ù‡ÙˆØ± ÙˆØ§Ù„Ù…Ø®Ø¯Ø±Ø§Øª. Ø­ÙŠØ§Ø© Ù‡Ø§Ù†Ø¦Ø© Ø­Ø±Ø© Ù‚Ø¶Ø§Ù‡Ø§ Ù…Ù„ÙŠÙ…ØŒ Ø¥Ù„Ù‰ Ø£Ù† Ø¯Ø®Ù„ Ø£Ø¨ÙˆÙ‡ Ø§Ù„Ø³Ø¬Ù†ØŒ ÙÙ‚Ø±Ø± Ù…Ù„ÙŠÙ… Ø£Ù† ÙŠØ²Ø§ÙˆÙ„ Ø¹Ù…Ù„Ù‹Ø§ Ø´Ø±ÙŠÙÙ‹Ø§. ÙˆØ¹Ù„Ù‰ Ø§Ù„Ø±ØºÙ… Ù…Ù† Ù†ÙˆØ§ÙŠØ§Ù‡ Ø§Ù„Ø·ÙŠØ¨Ø©ØŒ Ø§Ù†ØªÙ‡Ù‰ Ù…Ù„ÙŠÙ… Ø£ÙŠØ¶Ù‹Ø§ ÙˆØ±Ø§Ø¡ Ø§Ù„Ù‚Ø¶Ø¨Ø§Ù†ØŒ Ø¨Ø³Ø¨Ø¨ Ø³Ø°Ø§Ø¬Ø© Ø®Ø§Ù„Ø¯ØŒ Ø§Ø¨Ù† Ø§Ù„Ø¨Ø§Ø´Ø§ØŒ Ø§Ù„Ø«Ø§Ø¦Ø± Ø¹Ù„Ù‰ Ø£Ø¨ÙŠÙ‡ ÙˆÙ…Ø¬ØªÙ…Ø¹Ù‡.,Ø¨Ø¹Ø¯ Ø§Ù„Ø®Ø±ÙˆØ¬ Ù…Ù† Ø§Ù„Ø³Ø¬Ù† ÙŠØ¹Ù…Ù„ Ù…Ù„ÙŠÙ… ÙÙŠ Â«Ø§Ù„Ù‚Ù„Ø¹Ø©Â»ØŒ Ø­ÙŠØ« ØªØ¹ÙŠØ´ Ø®Ù„ÙŠØ© Ø´ÙŠÙˆØ¹ÙŠØ© Ù…ØªÙ†ÙˆØ¹Ø© Ù…Ù† Ø§Ù„Ù‡Ø§Ù…Ø´ÙŠÙŠÙ† ÙˆØ§Ù„Ù…Ù†Ø¸Ø±ÙŠÙ†ØŒ ÙØªØ¹ÙˆØ¯ Ø§Ù„Ø­ÙŠØ§Ø© Ø¥Ù„Ù‰ Ø®ÙØªÙ‡Ø§ØŒ ÙˆÙŠØ¹ÙˆØ¯ Ù…Ù„ÙŠÙ… Ø¥Ù„Ù‰ Ø§Ù„Ù†ØµØ¨ Ø§Ù„Ø¨Ø±ÙŠØ¡ Ø¨Ù…Ø³Ø§Ø¹Ø¯Ø© ØµØ¯ÙŠÙ‚ØªÙ‡ Ø§Ù„Ø±Ø³Ø§Ù…Ø©. ÙˆØ¹Ù†Ø¯Ù…Ø§ ÙŠÙ„ØªÙ‚ÙŠ Ù…Ù„ÙŠÙ… Ø¨Ø®Ø§Ù„Ø¯ Ù…Ø¬Ø¯Ø¯Ù‹Ø§ØŒ ÙŠØ³ØªØ¯Ø±Ø¬Ù‡ Ø¨Ø­ÙŠÙ„Ø© Ø¥Ù„Ù‰ Ø§Ù„Ù‚Ù„Ø¹Ø©ØŒ ÙÙŠØºØ±Ù… Ø®Ø§Ù„Ø¯ Ø¨Ø§Ù„Ø±Ø³Ø§Ù…Ø© ÙˆØ¨ÙˆÙ‡Ù… Ø§Ù„Ø­ÙŠØ§Ø© Ø§Ù„Ø¨ÙˆÙ‡ÙŠÙ…ÙŠØ©. Ù„ÙƒÙ† Ø§Ù„Ø£Ù‚Ø¯Ø§Ø± Ø³ØªØ¤Ø¯ÙŠ Ø¨ÙƒÙ„ Ù…Ù†Ù‡Ù… Ø¥Ù„Ù‰ Ø­ÙŠØ« Ù„Ù… ÙŠØªÙˆÙ‚Ø¹.,Ø±ÙˆØ§ÙŠØ© Ù…Ù…ØªØ¹Ø©ØŒ ØªØµÙˆØ± Ø¨Ø³Ø®Ø±ÙŠØ© Ù„Ø§Ø°Ø¹Ø© Ø§Ù„ØªÙ…Ø±Ø¯ Ø§Ù„Ù…Ø²ÙŠÙ ÙˆØ§Ù„Ø«Ù‚Ø§ÙØ© Ø§Ù„ÙØ§Ø±ØºØ©ØŒ ÙˆØ£Ø­Ù„Ø§Ù… Ø§Ù„ØªØºÙŠÙŠØ±.,ÙŠÙ„ÙŠ Ø§Ù„Ø±ÙˆØ§ÙŠØ© Ù†Øµ Ù†Ø¬ÙŠØ¨ Ù…Ø­ÙÙˆØ¸: Â«Ø¹Ø§Ø¯Ù„ ÙƒØ§Ù…Ù„.. ÙˆØ§Ù„Ø­Ø±Ø§ÙÙŠØ´.. ÙˆØ§Ù„Ø£Ø¯Ø¨..Â»",Ø¹Ø§Ø¯Ù„ ÙƒØ§Ù…Ù„,Paperback,,287,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363383966l/10050622.jpg
"Early Anglo Saxon Art And Archaeology: Being The Rhind Lectures Delivered In Edinburgh, 1935",History,,E.T. Leeds,,198131542,142,
"Britain And Ireland In Early Christian Times, A. D. 400 800","Mythology,Arthurian","Physical description; 144 p : ill(some col), 22cm. Subject; Church history â€” Primitive and early church, ca. 30-600. Church history â€” Middle Ages, 600-1500.",Charles  Thomas,Paperback,500570027,144,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370622771l/10050891.jpg
"Youth in Revolt: The Journals of Nick Twisp, Book One","Mythology,Arthurian,Historical,Medieval,Fantasy,Mythology","Six months in the life of the world's most dangerous teenager.,Youth in Revolt, is the journals of Nick Twisp, California's most precocious diarist, whose ongoing struggles to make sense out of high school, deal with his divorced parents, and lose his virginity result in his transformation from an unassuming fourteen-year-old to a modern youth in open revolt. ,As his family splinters, worlds collide, and the police block all routes out of town, Nick must cope with economic deprivation, homelessness, the gulag of the public schools, a competitive Type-A father, murderous canines (in triplicate), and an inconvenient hair trigger on his erectile responseâ€”all while vying ardently for the affections of the beauteous Sheeni Saunders, teenage goddess and ultimate intellectual goad.",C.D. Payne,Paperback,385481969,512,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519482466l/10050.jpg
Star of Doom,"Art,Art,Crafts,Nonfiction",,"David C. Smith,Richard L. Tierney",Mass Market Paperback,441711626,199,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1302404307l/1005106.jpg
Anglo-Saxon Military Institutions on the Eve of the Norman Conquest,"Sequential Art,Graphic Novels,Sequential Art,Manga,Sequential Art,Comics,History,Cultural,Japan,War,Nonfiction,War,World War II,Asian Literature,Japanese Literature,Historical",,C. Warren Hollister,Hardcover,585278067,170,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611016632l/10051170._SX318_.jpg
The Arthur of Medieval Latin Literature: The Development and Dissemination of the Arthurian Legend in Medieval Latin,"Poetry,Adult Fiction,Erotica,Cultural,China,Literature","Geoffrey of Monmouthâ€™s ,History of the Kings of Britain,, written in Latin, is one of the earliest sources for many of the legends we now associate with King Arthur and his knights. What is little known, however, is that the tradition of Arthur stories in Latin extended well beyond Geoffrey. This collection offers essays that highlight different aspects of that broader Latin Arthurian tradition.",SiÃ¢n Echard,Hardcover,708322018,199,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347657599l/10051197.jpg
The Arthur of the North: The Arthurian Legend in the Norse and Rusâ€™ Realms,"Science,Engineering,Reference,Nonfiction,Computer Science,Technical,Science,Textbooks","In ,The Arthur of the North,, Marianne E. Kalinke offers the first book-length study of the Arthurian literature translated from French and Latin into Old Norse-Icelandic in the thirteenth century. Â Preserved mostly in Icelandic manuscripts, in early modern times these Scandinavian Arthurian legends inspired the composition of narrative poems and chapbooks in Denmark, Iceland, and Norway, chiefly of the Tristan legend. The importation of Arthurian literature in the North, primarily French romances and lais, is indebted largely to the efforts of King HÃ¡kon HÃ¡konarson (r. 1217â€“63) of Norway, who commissioned the translation of Thomas de Bretagneâ€™s ,Tristan ,in 1226, and subsequently several Arthurian romances by ChrÃ©tien de Troyes and a number of Breton lais. Kalinke shows the transmission of foreign courtly literature in the non-courtly culture of Iceland, and the changes taken on in narrative and style as the tales made their way north.",Marianne E. Kalinke,Hardcover,708323537,223,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356470071l/10051198.jpg
"Artful Journals: Making and Embellishing Memory Books, Garden Diaries & Travel Albums","Fiction,Classics,European Literature,British Literature,Literature,Novels,Literary Fiction,Literature,20th Century,Historical,Historical Fiction","We all have thoughts, feelings, and experiences that we want to preserve forever--and a journal makes the perfect keepsake. This inspiration-packed guide, with beautiful watercolor art throughout, offers a wealth of creative ideas for creating attractive journals from scratch as well as embellishing store-bought ones. The 21 creative projects range from a seasonal journal that features stunning handmade papers decorated with natural items (such as twigs and leaves) to a lovely book made from travel postcards that opens like a fan. Other exquisite suggestions include an accordion-style booklet for writing down all the must-remember things your kids say, a romantic journal, and a sweet little spiral-bound book for collecting favorite handed-down recipes.",Janet Takahashi,Hardcover,1600590691,128,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328850276l/1005134.jpg
Onward Towards Our Noble Deaths,"Category Romance,Harlequin,Romance,Harlequin,Harlequin Presents,Contemporary,Romance,Contemporary Romance,Fiction,Harlequin,Harlequin Romance,Adult,Harlequin,Hqn,Romance,Category Romance","A landmark publishing event of one of Japan's most famous cartoonists,Shigeru Mizuki is the preeminent figure of ,Gekiga ,manga and one of the most famous working cartoonists in Japan todayâ€“a true living legend. ,Onward Towards Our Noble Deaths ,is his first book to be translated into English and is a semiautobiographical account of the desperate final weeks of a Japanese infantry unit at the end of WorldWar II. The soldiers are told that they must go into battle and die for the honor of their country, with certain execution facing them if they return alive. Mizuki was a soldier himself (he was severely injured and lost an arm) and uses his experiences to convey the devastating consequences and moral depravity of the war.,Mizuki's list of accolades and achievements is long and detailed. In Japan, the life of Mizuki and his wife has been made into an extremely popular television drama that airs daily. Mizuki is the recipient of many awards, including the Best AlbumAward for his book ,NonNonBa ,(to be published in 2012 by D+Q) and the Heritage Essential Award for ,Onward Towards Our Noble Deaths ,at the AngoulÃªme International Comics Festival, the Tezuka Osamu Cultural Prize Special Award, the Kyokujitsu Sho Decoration, the Shiju Hosho Decoration, and the KodanshaManga Award.His hometown of Sakaiminato honored him with Shigeru Mizuki Roadâ€”a street decorated with bronze statues of his ,Ge Ge Ge no Kitaro ,charactersâ€”and the Shigeru Mizuki International Cultural Center.",Shigeru Mizuki,Paperback,1770460411,372,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312077252l/10051438.jpg
Chinese Erotic Poems,"Young Adult,Adventure,Contemporary,Mystery,Young Adult,Teen,Realistic Fiction,Fiction,Action,Humor,Thriller","The ancient Chinese tradition of erotic poetry has been largely ignored in the west. Now, a vast continent of sensual verse is opened to us with this glorious collection spanning nearly three thousand years and including many poems never before translated into English. ,Tony Barnstone and Chou Ping have brought together poems about deep love and pure lust, enticement and seduction, ecstasy and disappointment. Here are poems that express need, hunger, grief, and longingâ€”for husbands and wives and for concubines and lovers; poems by turns explicit or subtle, light-hearted or desperate, written from both menâ€™s and womenâ€™s points of view. The editors have drawn on a wide range of sources from 600 BCE to the present, including highly literary poems, popular verse, and folk songs, as well as poems that appeared in ancient Daoist sex manuals, in classical novels of the Ming Dynasty, and in collections of erotic prints. The result is a dazzling array of voices that speak the universal language of desire.,For the first time, all the major works of this beloved writer are gathered together in one hardcover volume.","Tony Barnstone,Chou Ping",Hardcover,307265676,256,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320460835l/1005150.jpg
Machinery's Handbook,"Romance,Category Romance,Harlequin,Harlequin,Harlequin Desire,Romance,Contemporary Romance,Romance,Category Romance","The 25th edition of the bible of the mechanical industries. The speeds and feeds section has been revised, updated and expanded to include new materials, more cutting tools, and tool life estimates. The welding section has been rewritten to incorporate recent developments, the numerical control section has been expanded and rearranged to facilitate use, and logarithm and trigonometry tables have been reinstated. New to this edition are sections on bolt tightening torques, motion control sections, ISO 9000, lasers, dividing heads, bandsaws (including speeds and feeds), electrical discharge machining, retaining rings, machinability of wood, and collets. In addition, all the practical information and data has been reviewed and updated where necessary.","Erik Oberg,Henry H. Ryffel,Franklin Day Jones",Hardcover,831125756,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387742667l/1005163.jpg
Living,"Fantasy,Science Fiction,Science Fiction,Sword and Planet,Pulp","LIVING, as an early novel, marks the beginning of Henry Green's career as a writer who made his name by exploring class distinctions through the medium of love. Set in an iron foundry in Birmingham, LIVING grittily and entertainingly contrasts the lives of the workers and the owners",Henry Green,Hardcover,781200377,224,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350578241l/1005167.jpg
For Duty's Sake,"Category Romance,Harlequin,Romance,Romance,Contemporary Romance,Harlequin,Harlequin Desire,Harlequin,Harlequin Romance,Contemporary,Harlequin,Harlequin Presents,Romance,Category Romance","Angele has longed for her betrothal to Crown Prince Zahir to be consummated within wedlock. She naively hoped her promised husband would wait for her, as she would himÂ—but compromising paparazzi photos have dashed those youthful dreamsÂ….,She cannot become Zahir's wife out of duty and endure a loveless union; she must let him go freeÂ…but on one condition. Without taking Angele's hand in marriage, will the proud sheikh agree to give her the wedding night she has long dreamed of?",Lucy Monroe,Paperback,373129939,192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327899917l/10051703.jpg
"Au Revoir, Crazy European Chick","Fantasy,Science Fiction","Ferris Bueller meets ,La Femme Nikita, in this funny, action-packed young adult novel.,Itâ€™s prom nightâ€”and Perry just wants to stick to his own plan and finally play a much-anticipated gig with his band in the Big Apple. But when his mother makes him take Gobija Zaksauskasâ€”their quiet, geeky Lithuanian exchange studentâ€”to the prom, he never expects that his ordinary high school guy life will soon turn on its head. Perry finds that Gobi is on a mission, and Perry has no other choice but to go along for a reckless ride through Manhattanâ€™s concrete grid with a trained assassin in Dadâ€™s red Jag.,Infused with capers, car chases, heists, hits, henchmen, and even a bear fight, this story mixes romance, comedy, and tragedy in a true teen coming-of-age adventureâ€”and itâ€™s not over until itâ€™s â€œau revoir.â€",Joe Schreiber,Hardcover,547577389,190,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344947017l/10051706.jpg
Acquired: The CEO's Small-Town Bride,"Fantasy,Science Fiction,Science Fiction,Sword and Planet,Fiction,Adventure,Science Fiction Fantasy,Pulp","The people of Vista del Mar were about to pay. Now that Rafe Cameron had made his fortune, he was out to settle old debts. Except he hadn't counted on running into Sarah Richards his feisty exâ€“flame who was determined to put an end to his feud with their hometown. Secretly amused that Sarah had turned into such a doâ€“gooder, Rafe allowed himself to consider her pleas. But nothing not even the thawing of his own frozen heart would make this CEO amend his plans. Until one revelation changed everything",Catherine Mann,Paperback,373731035,192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471479527l/10051749._SY475_.jpg
Black Legion Of Callisto,"Cities,Urban Planning,Nonfiction,Architecture,Cities,Urbanism,Geography,Cities,Family","Jandar the alien, tortured by his love for the magnificent Princess Darloona in the savage and primitive world of Thanator, devises an incredible plan to infiltrate the ranks of the barbaric and merciless Black Legion who hold both the city of Shondakor and the Princess in their relentless power. It is a plan of inconceivable daring, fraught with dangers unthinkable by the human mind...and when the gates of the city lock behind him, Jandar realizes that death might be their only way out...","Lin Carter,Bruce Pennington",Mass Market Paperback,860078256,203,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514072882l/1005175.jpg
"His Heir, Her Honor","Fantasy,Science Fiction,Science Fiction,Sword and Planet,Anthologies,Collections,Pulp","There was no way he had fathered her baby! Carlos Medina ""knew"" he couldn't have children. But Lilah Anderson insisted their night together had resulted in her pregnancy. And when she refused to back down, his princely honor demanded he acknowledge his heir.Doctor, dignitary...Lilah didn't give a hoot about Carlos's royal pedigree! The mom-to-be had never cheated on her lover; she had given him her heart, asking nothing in return. Now, he wanted to marry her--for the sake of their child. Was she asking too much by insisting he give her his love ""and"" his ring?",Catherine Mann,Paperback,373730845,192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347428331l/10051760.jpg
Callisto Volume 1,"Fantasy,Science Fiction,Science Fiction,Sword and Planet,Pulp","THE CLASSIC FANTASY SERIES, FROM THE CO-AUTHOR OF, CONAN THE BARBARIAN! At the height of the Vietnam War, Jon Dark is a helicopter pilot for the International Red Cross, flying numerous rescue missions...until the day his helicopter crashes in the Cambodian jungles. Cut off from American troops, he searches for a way out, only to find a lost city -- and the gateway to another world.,Stepping through the portal, he arrives on Callisto -- a savage, hostile world terrorized by insect-men and the infamous Sky Pirates of Zanadar. It is a world of black and crimson jungles where Jon Dark -- now known as Jandar -- finds not only chilling dangers awaiting him, but also the love of a beautiful princess.",Lin Carter,Paperback,743400054,418,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180153438l/1005182.jpg
Jandar of Callisto,"Fantasy,Science Fiction,Science Fiction,Sword and Planet","Librarian note: Dell 4182 95Â¢ on the front cover. The ISBN 0-440-04182-1 is derived from the SBN 440-04182-095 on the spine.,JANDAR THE ALIEN ENSLAVED,on Callisto, moon of Jupiter, a world of black and crimson jungles where the hand of every man is lifted in eternal enmity against every other... a savage, hostile world on which he is first held prisoner by the fearsome insect-men, only to be freed for a more binding slavery in the deadly clutches of the insidious Sky Pirates... and in the incalculable aura of the beautiful princess Darloona who elicits love almost beyond the limits of his mortal soul...,(Source: back cover)","Lin Carter,Vincent Di Fate",Mass Market Paperback,440041821,224,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298885853l/1005186.jpg
Pocket Neighborhoods: Creating Small-Scale Community in a Large-Scale World,"Romance,Historical,Historical Fiction,European Literature,Finnish Literature,Fiction,Historical","Pocket Neighborhoods: Creating Small Scale Community in a Large Scale World ,introduces an antidote to faceless, placeless sprawl â€” small scale neighborhoods where people can easily know one another, where empty nesters and single householders with far-flung families can find friendship or a helping hand nearby, and where children can have shirt-tail aunties and uncles just beyond their front gate.The book describes inspiring pocket neighborhoods through stories of the people who live there, as well as the progressive planners, innovative architects, pioneering developers, craftspeople and gardeners who helped create them.,Sarah Susanka, author of the best selling â€œNot So Big Houseâ€ series, wrote the Foreword to the book, placing pocket neighborhoods within context of the contemporary trends in housing and community. RossÂ ChapinÂ begins the book by outlining the shifts in the scale of community and the American Dream over several generations, leading to super-sized houses in a sea of development, then describes a solution to help restore healthy, livable communities. The first section of the book looks at historic precedents of pocket neighborhoods, from 15th century hofje almshouses in the Netherlands, to a 19th century Methodists Camp Community on Marthaâ€™s Vineyard, to early 20th century Garden City models and Southern California Cottage Courtyards. The second section covers a wide range of contemporary pocket neighborhoods, including New Urban communities, affordable housing, houseboat communities, eco-neighborhoods, and Ross Chapin Architectsâ€™ own pocket neighborhood examples. The third section focuses on â€˜cohousingâ€™ communities, from Danish origins in the 1960s, to examples across America, Australia and New Zealand, including a chapter on senior cohousing. The fourth section looks at retrofitting pocket neighborhoods within existing communities. Throughout the book are series of â€œDesign Keysâ€ that highlight the essential principles of pocket neighborhood planning and design, and short stories about â€œPocket Neighborhood Pioneersâ€ who blazed new trails. The book is filled with rich photographs, drawings, illustrations and site plans, and a Resources section at the end provides leads for the reader to explore the topic in further detail., Â ","Ross Chapin,Sarah Susanka",Hardcover,160085107X,224,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344678814l/10051877.jpg
Renegade Of Callisto,"Nonfiction,Anthropology",,"Lin Carter,Frank Frazetta",Mass Market Paperback,440143772,218,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298882863l/1005189.jpg
Sky Pirates of Callisto,"Cultural,Japan","Jandar the Alien,SAVAGED,Stumbling upon the Lost City of Arangkhor in the trackless jungles of Cambodia, Jandar was mysteriously transported to the strange world of Callisto where the teeming black and crimson jungles sprawl under skies of golden vapour.,Now Jandar the Alien fears for the safety of the beautiful princess Darloona, a captive of the dreaded Sky Pirates. He resorts to a desperate plan to free her but fate and treachery alter his course and Jandar is taken by the Perushtarians. Abandoned in the loathsome slave-pens of Narouk, his destiny is to fight for his life in a barbaric arena of death...,Cover Illustration: Bruce Pennington","Lin Carter,Bruce Pennington",Paperback,860078302,189,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1233588683l/1005191.jpg
Ylana Of Callisto,,,"Lin Carter,Frank Frazetta",Paperback,044014244X,192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298883512l/1005193.jpg
